yyyyq,dsr,dsr_demean,mdsr,cdsr,f,f_demean,Rfree,Index,D12,E12,SP500,dp,dy,ep,cay_ll,cay_goyal,ERP,ERP4,ERP8,ERP12,ERP16,ERP24,ERP50,sp1,sp4,sp8,sp12,sp16,sp24,sp50,ik,b/m,tbl,AAA,BAA,lty,ntis,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,D3,E3,y
19094,NaN,NaN,NaN,NaN,NaN,NaN,0.010144909,10.3,0.44,0.76,0.053974485,0.042718447,0.043179588,0.073786408,NaN,NaN,0.043829576,0.00351164,0.020500774,0.038985645,0.031144468,0.037374128,0.0464328,0.053974485,0.013449318,0.029650222,0.047937045,0.040716388,0.04667235,0.056352955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001857707,NaN,NaN,NaN,NaN,NaN,NaN
19101,NaN,NaN,NaN,NaN,NaN,NaN,0.009034465,9.96,0.448,0.753,0.010485437,0.04497992,0.043495146,0.07560241,NaN,NaN,0.001450972,0.007035577,0.027083967,0.034335943,0.027618181,0.041321013,0.048481563,0.010485437,0.017071297,0.036023365,0.043439171,0.037269711,0.050437655,0.05836132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00490875,NaN,NaN,NaN,NaN,NaN,NaN
19102,NaN,NaN,NaN,NaN,NaN,NaN,0.009574836,9.1,0.455,0.745,-0.040662651,0.05,0.045682731,0.081868132,NaN,NaN,-0.050237487,0.025178095,0.035041556,0.032463952,0.032822194,0.04169005,0.050908029,-0.040662651,0.034891927,0.043809831,0.04167697,0.042405727,0.05067323,0.060774097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005853525,NaN,NaN,NaN,NaN,NaN,NaN
19103,NaN,NaN,NaN,NaN,NaN,NaN,0.0109965,8.91,0.463,0.738,0.03,0.051964085,0.050879121,0.082828283,NaN,NaN,0.0190035,0.05798138,0.050465585,0.033814795,0.037452711,0.046637409,0.052238005,0.03,0.067053298,0.059040512,0.043171585,0.046900268,0.055480012,0.062095076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005560272,NaN,NaN,NaN,NaN,NaN,NaN
19104,NaN,NaN,NaN,NaN,NaN,NaN,0.01053708,9.05,0.47,0.73,0.068462402,0.051933702,0.052749719,0.080662983,NaN,NaN,0.057925322,0.037489908,0.056722647,0.04035541,0.035409721,0.049324865,0.054305694,0.068462402,0.045851126,0.065180909,0.049805411,0.044909954,0.05800494,0.064148834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002585228,NaN,NaN,NaN,NaN,NaN,NaN
19111,NaN,NaN,NaN,NaN,NaN,NaN,0.007746912,9.32,0.47,0.695,0.081767956,0.050429185,0.051933702,0.074570815,NaN,NaN,0.074021044,0.047132358,0.047986126,0.034479049,0.031836917,0.049551584,0.051746279,0.081767956,0.054975433,0.056623109,0.044002516,0.041363476,0.058079337,0.061570679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001828259,NaN,NaN,NaN,NaN,NaN,NaN
19112,NaN,NaN,NaN,NaN,NaN,NaN,0.00700718,9.67,0.47,0.66,0.087982833,0.04860393,0.050429185,0.068252327,NaN,NaN,0.080975653,0.044905018,0.036106881,0.035370227,0.032238957,0.046588372,0.050868716,0.087982833,0.052727736,0.045069492,0.044910328,0.041720666,0.055110264,0.060738677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001206497,NaN,NaN,NaN,NaN,NaN,NaN
19113,NaN,NaN,NaN,NaN,NaN,NaN,0.008153699,8.67,0.47,0.625,-0.054808687,0.054209919,0.04860393,0.072087659,NaN,NaN,-0.062962386,0.042949789,0.021731503,0.030609821,0.034125698,0.044413796,0.051337411,-0.054808687,0.051027727,0.031230728,0.040182591,0.043611105,0.053033107,0.061261229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002744684,NaN,NaN,NaN,NaN,NaN,NaN
19114,NaN,NaN,NaN,NaN,NaN,NaN,0.00846451,9.11,0.47,0.59,0.104959631,0.051591658,0.054209919,0.064763996,NaN,NaN,0.096495121,0.075955386,0.041788161,0.034716325,0.045810805,0.04542359,0.054020498,0.104959631,0.084510692,0.051782553,0.04459623,0.055183414,0.054109206,0.063959742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002004133,NaN,NaN,NaN,NaN,NaN,NaN
19121,NaN,NaN,NaN,NaN,NaN,NaN,0.007665485,9.3,0.473,0.618,0.072777168,0.050860215,0.051920966,0.066451613,NaN,NaN,0.065111683,0.048839893,0.028152394,0.026738437,0.048439535,0.037712631,0.053049056,0.072777168,0.058270784,0.038516058,0.036826157,0.0576448,0.046503129,0.062941009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001057249,NaN,NaN,NaN,NaN,NaN,NaN
19122,NaN,NaN,NaN,NaN,NaN,NaN,0.008028056,9.58,0.475,0.645,0.081182796,0.049582463,0.051075269,0.067327766,NaN,NaN,0.07315474,0.027308744,0.030602831,0.028016937,0.045014297,0.04150237,0.054339706,0.081182796,0.037411247,0.041001623,0.038051643,0.054104929,0.050456041,0.06418535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001722304,NaN,NaN,NaN,NaN,NaN,NaN
19123,NaN,NaN,NaN,NaN,NaN,NaN,0.010063172,9.86,0.478,0.673,0.079123173,0.048478702,0.049895616,0.068255578,NaN,NaN,0.069060001,0.000513217,0.024439837,0.031184334,0.044723321,0.042533774,0.055904868,0.079123173,0.01143373,0.034760024,0.041138897,0.053699761,0.05165218,0.06571845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00131202,NaN,NaN,NaN,NaN,NaN,NaN
