year,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,ep,dp,dy,de,ERP,SP500
1951,23.77,1.41,2.44,0.721316347,0.0173,0.0301,0.0361,0.0269,0.006329679,0.036150788,0.0173,0.059647718,0.264823666,-0.039421605,-0.02690309,0.01218224,0.004146893,0.032502956,0.234250517,0.160197552,0.103,0.059318469,0.069083782,0.577868852,0.216408966,0.233708966
1952,26.57,1.41,2.4,0.694073313,0.0209,0.0297,0.0351,0.0279,0.005199312,0.026534716,0.0209,0.009066868,0.202497115,0.011693102,0.035209224,0.006590011,0.003445919,0.031850747,0.189422478,0.12279706,0.09,0.053067369,0.059318469,0.5875,0.156214009,0.177114009
1953,24.81,1.45,2.51,0.759700961,0.016,0.0313,0.0374,0.0274,-0.007281053,0.024822272,0.016,0.005990266,0.203978422,0.036258194,0.034114425,0.008279479,0.00279331,0.033095239,-0.017075142,-0.073017005,0.101,0.058444176,0.054572826,0.577689243,-0.027667294,-0.011667294
1954,35.98,1.54,2.77,0.604119785,0.0115,0.029,0.0345,0.0272,0.00932887,0.026992813,0.0115,-0.003721623,0.213197436,0.071776468,0.053858485,0.008389814,0.002845475,0.03164028,0.526483051,0.449936781,0.077,0.042801556,0.062071745,0.555956679,0.50079343,0.51229343
1955,45.48,1.64,3.62,0.50982801,0.0254,0.0315,0.0362,0.0295,-0.008520491,0.02524455,0.0254,0.003735525,0.275390625,-0.012834489,0.00479737,0.021620209,0.000243799,0.035788581,0.312982489,0.257907838,0.08,0.036059807,0.045580878,0.453038674,0.284216454,0.309616454
1956,46.67,1.74,3.41,0.544176827,0.0321,0.0375,0.0437,0.0345,-0.01582627,0.026149367,0.0321,0.028284332,0.268488893,-0.055942165,-0.068146268,0.013889924,0.000969841,0.034466359,0.064274332,0.02180892,0.073,0.037283051,0.038258575,0.51026393,0.032323923,0.064423923
1957,39.99,1.79,3.37,0.653675779,0.0304,0.0381,0.0503,0.0323,-0.008858412,0.034873147,0.0304,0.030401737,0.227001009,0.074664669,0.087135458,0.017546851,0.000667927,0.033177064,-0.108147815,-0.1470137,0.084,0.04476119,0.038354403,0.53115727,-0.13517823,-0.10477823
1958,55.21,1.75,2.89,0.51177932,0.0277,0.0408,0.0485,0.0382,0.004715267,0.023686832,0.0277,0.017562346,0.164835165,-0.061062035,-0.022169912,0.008489224,0.001585812,0.029459016,0.437416855,0.382752522,0.052,0.031697156,0.04376094,0.605536332,0.396656089,0.424356089
1959,59.89,1.83,3.39,0.457783797,0.0449,0.0458,0.0528,0.0447,0.004404115,0.022856304,0.0449,0.015188126,0.262439725,-0.022663557,-0.009667896,0.008449291,0.000975372,0.03145906,0.124008285,0.0880547,0.057,0.030556019,0.033146169,0.539823009,0.073013421,0.117913421
1960,58.11,1.95,3.27,0.550422965,0.0225,0.0435,0.051,0.038,0.010102277,0.022761361,0.0225,0.013600816,0.204155998,0.137933943,0.090664916,0.010160586,-0.001362514,0.03128136,0.005900758,-0.028461076,0.056,0.033557047,0.032559693,0.596330275,-0.019661463,0.002838537
1961,71.55,2.02,3.19,0.505922258,0.026,0.0442,0.051,0.0415,0.006146085,0.022324288,0.026,0.006709158,0.284412033,0.009678427,0.048183189,0.006487873,-0.002210744,0.031807089,0.271070196,0.233555473,0.045,0.028232006,0.034761659,0.63322884,0.240047152,0.266047152
1962,63.1,2.13,3.67,0.591627051,0.0287,0.0424,0.0492,0.0395,0.005169519,0.019967897,0.0287,0.012329224,0.162167212,0.068829489,0.079450363,0.028545104,-0.002796575,0.032714829,-0.087481619,-0.118394066,0.058,0.033755943,0.029769392,0.580381471,-0.117029839,-0.088329839
1963,75.02,2.28,4.02,0.525591454,0.0352,0.0435,0.0485,0.0417,0.004638082,0.008954678,0.0352,0.016458196,0.111474338,0.012143645,0.021948748,0.007412608,-0.001496869,0.034728644,0.226863256,0.187766724,0.054,0.030391895,0.036133122,0.567164179,0.18983962,0.22503962
